Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer
1343309337772826,2013-08-01,1375316883,Charged,c1skt,2000+200points,com.uangel.sazoodotcom,inapp,sazoo_2000,KRW,"2,000.00",0.00,"2,000.00",남원,전라북도,560-030,KR
1349760320068112,2013-08-01,1375316933,Charged,baffinltektt,TOMO_sam_수학왕코코몽_full_pack,com.uangel.tomokidscocomMath,inapp,com.uangel.tomokids_cocom_math_fullpack,KRW,"14,000.00",0.00,"14,000.00",포항시,경북,791-280,KR
1398395779160564,2013-08-01,1375319500,Refund,t0lteskt,TOMO_olive_코코몽TV Full Pack,com.uangel.corona.cocomontv,inapp,com.uangel.tomokids_cocomongtv_fullpack,KRW,"24,000.00",0.00,"-24,000.00",광주,광주,500-790,KR
1311937931359070,2013-08-01,1375326160,Charged,ef65l,30000+20000points,com.uangel.sazoodotcom,inapp,sazoo_30000,KRW,"30,000.00",0.00,"30,000.00",이,경기도,486-585,KR
1310026266628659,2013-08-01,1375326937,Charged,ef65l,50000 포인트,com.uangel.fortunefriend,inapp,fortunebuddy_30000,KRW,"30,000.00",0.00,"30,000.00",이,경기도,486-585,KR
1317353143655219,2013-08-01,1375327001,Charged,ef65l,15000 포인트,com.uangel.fortunefriend,inapp,fortunebuddy_10000,KRW,"10,000.00",0.00,"10,000.00",이,경기도,486-585,KR
1325810759986533,2013-08-01,1375327649,Charged,ef65l,1000points,com.uangel.sazoodotcom,inapp,sazoo_1000,KRW,"1,000.00",0.00,"1,000.00",이,경기도,486-585,KR
1325913703759773,2013-08-01,1375327713,Charged,ef65l,10000+5000points,com.uangel.sazoodotcom,inapp,sazoo_10000,KRW,"10,000.00",0.00,"10,000.00",이,경기도,486-585,KR
1321767993239226,2013-08-01,1375327716,Charged,ef65l,1000points,com.uangel.sazoodotcom,inapp,sazoo_1000,KRW,"1,000.00",0.00,"1,000.00",이,경기도,486-585,KR
1330110764138420,2013-08-01,1375327718,Charged,ef65l,1000points,com.uangel.sazoodotcom,inapp,sazoo_1000,KRW,"1,000.00",0.00,"1,000.00",이,경기도,486-585,KR
1328560890792966,2013-08-01,1375327775,Charged,ef65l,1000points,com.uangel.sazoodotcom,inapp,sazoo_1000,KRW,"1,000.00",0.00,"1,000.00",이,경기도,486-585,KR
1340459537046424,2013-08-01,1375327776,Charged,ef65l,1000points,com.uangel.sazoodotcom,inapp,sazoo_1000,KRW,"1,000.00",0.00,"1,000.00",이,경기도,486-585,KR
