ProductID,SKUID,Charged-Refund-Count,sum,install-Count
com.uangel.corona.tomokidsSensation,,,,
com.uangel.corona.tomokidsWisdom,,,,
com.uangel.corona.tomokidsSafari,,,,
com.uangel.corona.littlephonicsOne,,,,
com.uangel.corona.tomokidsClabbi,,,,
com.uangel.corona.littlephonicsABC,,,,
com.uangel.corona.littlephonicsDEFF,,,,
com.uangel.corona.littlephonicsGHII,,,,
com.uangel.corona.littlephonicsJKLL,,,,
com.uangel.corona.littlephonicsMNN,,,,
com.uangel.corona.littlephonicsOPQ,,,,
com.uangel.corona.littlephonicsRST,,,,
com.uangel.corona.littlephonicsUVW,,,,
com.uangel.corona.littlephonicsXYZ,,,,
com.uangel.corona.littlephonicsReview,,,,
com.uangel.tomokidsclabbiWord,com.uangel.tomokids_caitoryclabbiword_pack1,,,
com.uangel.tomokidsclabbiWord,com.uangel.tomokids_clabbi_word_pack2,,,
com.uangel.tomokidsbackkom1,com.uangel.tomokids_kth_backkom_s1_pack1_1,,,
com.uangel.tomokidsbackkom1,com.uangel.tomokids_kth_backkom_s1_pack1_2,,,
com.uangel.tomokidsbackkom1,com.uangel.tomokids_kth_backkom_s1_pack1_3,,,
com.uangel.tomokidsbackkom1,com.uangel.tomokids_kth_backkom_s1_pack1_4,,,
com.uangel.tomokidsbackkom1,com.uangel.tomokids_kth_backkom_s1_fullpack,1,14289,
com.uangel.tomokidsbackkom1,installCount,,,
com.uangel.tomokidsJaduVodSeason1,com.uangel.tomokids_kth_jadu_s1_pack1_1,2,17669,
com.uangel.tomokidsJaduVodSeason1,com.uangel.tomokids_kth_jadu_s1_pack1_2,1,8880,
com.uangel.tomokidsJaduVodSeason1,com.uangel.tomokids_kth_jadu_s1_pack1_3,,,
com.uangel.tomokidsJaduVodSeason1,com.uangel.tomokids_kth_jadu_s1_pack1_4,,,
com.uangel.tomokidsJaduVodSeason1,com.uangel.tomokids_kth_jadu_s1_fullpack,2,43819,
com.uangel.tomokidsJaduVodSeason1,installCount,,,
com.uangel.tomokidsJaduVodSeason2,com.uangel.tomokids_kth_jadu_s2_pack1,1,9889,
com.uangel.tomokidsJaduVodSeason2,com.uangel.tomokids_kth_jadu_s2_pack2,,,
