AppID,InAppID,Charged-Refund-Count,Charged,Refund,Currency,sum,install-Count
TOMOKIDS_001,1.99,14,14,,USD,27.859999999999992,
TOMOKIDS_001,9.99,1,1,,USD,9.99,
TOMOKIDS_001,8.99,3,3,,USD,26.97,
TOMOKIDS_001,7.99,3,3,,USD,23.97,
TOMOKIDS_001,10.49,1,1,,AUD,10.49,
com.uangel.tomokidslittlephonicsOPQ,,1,1,,CNY,12,
com.uangel.tomokidsbackkom1,com.uangel.tomokids_kth_backkom_s1_pack1_1,1,1,,TWD,150,
com.uangel.tomokidsbackkom1,com.uangel.tomokids_kth_backkom_s1_pack1_1,1,1,,USD,4.99,
com.uangel.tomokidsbackkom1,com.uangel.tomokids_kth_backkom_s1_fullpack,1,1,,USD,12.99,
com.uangel.tomokidsbackkom1,com.uangel.tomokids_kth_backkom_s1_pack1_3,1,1,,USD,4.99,
com.uangel.tomokidsbackkom1,com.uangel.tomokids_kth_backkom_s1_pack1_2,1,1,,USD,4.99,
com.uangel.tomokidsJaduVodSeason1,com.uangel.tomokids_kth_jadu_s1_pack1_3,1,1,,USD,7.99,
com.uangel.tomokidsJaduVodSeason1,com.uangel.tomokids_kth_jadu_s1_fullpack,1,1,,USD,19.99,
com.uangel.tomokidsJaduVodSeason1,com.uangel.tomokids_kth_jadu_s1_pack1_1,1,1,,USD,7.99,
com.uangel.tomokidsJaduVodSeason1,com.uangel.tomokids_kth_jadu_s1_pack1_2,1,1,,USD,7.99,
com.uangel.tomokidsJaduVodSeason2,com.uangel.tomokids_kth_jadu_s2_pack3,1,1,,USD,8.99,
com.uangel.tomokidsJaduVodSeason2,com.uangel.tomokids_kth_jadu_s2_fullpack,1,1,,USD,27.99,
com.uangel.tomokidsJaduVodSeason2,com.uangel.tomokids_kth_jadu_s2_pack2,1,1,,USD,8.99,
com.uangel.tomokidsJaduVodSeason2,com.uangel.tomokids_kth_jadu_s2_pack1,1,1,,USD,8.99,
com.uangel.tomokidscreatpack,com.uangel.tomokids_kth_creat_cocomon_pack3,1,1,,USD,9.99,
com.uangel.tomokidscreatpack,com.uangel.tomokids_sam_creat_fullpack,1,1,,USD,11.99,
com.uangel.tomokidscreatpack,com.uangel.tomokids_sam_creat_pack1,1,1,,USD,7.99,
com.uangel.corona.cocomontv,com.uangel.tomokids_lou_tv_fullpack,1,1,,USD,9.99,
com.uangel.corona.cocomontv,com.uangel.tomokids_cocomongtv_season1,1,1,,USD,6.99,
com.uangel.tomokidsnatureSticker,com.uangel.tomokids_naturesticker1,1,1,,USD,7.99,
com.uangel.bestFairyTale,com.uangel.tomokids_SensationWisdom_pack1,1,1,,TWD,300,
com.uangel.bestFairyTale,com.uangel.tomokids_SensationWisdom_pack1,1,1,,USD,9.99,
com.uangel.bestFairyTale,com.uangel.tomokids_SensationWisdom_pack2,1,1,,USD,11.99,
com.uangel.tomokidslittlephonicsOneNEW,com.uangel.tomokids_efuture_phonics2_pack_2,1,1,,USD,9.99,


TOMOKIDS_001,,,,,,,4
com.uangel.tomokidslittlephonicsOPQ,,,,,,,1
com.uangel.tomokidsbackkom1,,,,,,,5
com.uangel.tomokidsJaduVodSeason1,,,,,,,8
com.uangel.tomokidsJaduVodSeason2,,,,,,,10
com.uangel.tomokidscocomMath,,,,,,,7
com.uangel.tomokidscreatpack,,,,,,,4
com.uangel.corona.cocomontv,,,,,,,8
com.uangel.tomokidsclabbiword,,,,,,,4
com.uangel.tomokidsfirstStory,,,,,,,1
com.uangel.tomokidsreadAlong,,,,,,,2
com.uangel.tomokidsbestSong,,,,,,,3
com.uangel.tomokidsmoonPack,,,,,,,1
com.uangel.tomokidsnatureSticker,,,,,,,3
com.uangel.tomokidsnuriStoryOne,,,,,,,2
com.uangel.tomokidsnuriStoryTwo,,,,,,,2
com.uangel.tomokidsday20MStory,,,,,,,2
com.uangel.bestFairyTale,,,,,,,6
com.uangel.tomokidsphonicsSeriesEng,,,,,,,11
com.uangel.tomokidslittlephonicsOneNEW,,,,,,,5
